EnstID	Gene	MIS	LOF	Silent	Total
ENST00000290536	C2orf65	54	11	19	89
ENST00000254770	LANCL2	58	1	24	85
ENST00000350375	POU1F1	43	6	11	62
ENST00000215980	CENPM	6	0	7	14
ENST00000358582	ZNF781	63	15	9	88
ENST00000358583	ENSG00000196648	5	0	4	11
ENST00000054668	UTS2	14	1	2	17
ENST00000358585	SCGB1D4	16	1	5	23
ENST00000278765	GGTLC1	48	2	24	77
ENST00000054666	VAMP3	9	2	4	17
ENST00000474759	CACNA2D3	194	22	95	322
ENST00000229270	TPI1	29	1	6	36
ENST00000276659	RSPO2	72	1	19	93
ENST00000276654	LRP12	139	14	34	188
ENST00000198536	PILRA	33	1	10	46
ENST00000373253	NCDN	54	2	23	81
ENST00000373255	H2AFY2	37	3	12	52
ENST00000159087	ANO8	71	11	33	118
ENST00000373257	LPIN3	70	7	38	119
ENST00000373256	GLP1R	70	7	47	127
ENST00000325241	ZNF7	61	8	18	89
ENST00000425562	LRCH3	29	2	12	45
ENST00000263918	STRN	77	10	23	119
ENST00000383829	BRPF1	103	8	47	160
ENST00000263915	GRB14	64	15	27	116
ENST00000395411	CSNK1G3	45	6	6	58
ENST00000402717	NRXN1	152	7	68	231
ENST00000257951	KRT84	78	4	33	117
ENST00000454862	ZSWIM3	44	2	15	61
ENST00000442598	RAD54L	56	2	23	89
ENST00000529193	CREB3L1	37	2	12	55
ENST00000312828	RNF152	45	4	27	76
ENST00000259803	GCM1	52	5	15	75
ENST00000259806	FOXF2	29	2	10	42
ENST00000475157	BTG2	19	1	8	29
ENST00000259808	RIPK1	54	10	17	84
ENST00000292475	ATP5J2	16	1	4	22
ENST00000475153	ZNF398	62	6	15	86
ENST00000295055	CAPN13	95	7	47	154
ENST00000295057	LRRTM1	131	8	62	202
ENST00000295050	C1orf124	53	7	12	73
ENST00000529221	TTC12	64	7	36	109
ENST00000525539	PKD1L2	175	49	79	315
ENST00000518937	TPD52	11	2	9	25
ENST00000361905	TEAD1	31	4	11	48
ENST00000361902	GPX6	46	7	26	81
SU_NEK8	NEK8	77	11	27	119
SU_NEK5	NEK5	106	13	20	141
ENST00000593633	ENSG00000268181	1	0	0	1
ENST00000380707	SMN1	0	0	1	1
ENST00000380701	C9orf93	128	20	31	189
ENST00000380702	PDE4A	32	0	18	51
ENST00000307650	FAM195A	10	0	2	12
ENST00000206765	TGM1	89	3	31	127
ENST00000546188	ANO2	96	9	50	162
ENST00000534749	PITPNM1	101	5	43	152
ENST00000359971	ZNF517	42	1	20	64
ENST00000359973	ENSG00000197608	82	11	22	116
ENST00000216044	GTPBP1	53	4	14	72
ENST00000414558	ATG4C	2	0	2	6
ENST00000339313	SIGLEC10	130	11	51	197
ENST00000540495	SCARB1	10	1	4	16
ENST00000317995	CA8	33	4	12	52
ENST00000317996	OR2T12	137	5	44	187
ENST00000317991	GRAMD1A	44	2	29	75
ENST00000453070	RNF112	6	0	7	13
ENST00000453071	SUN3	1	0	0	4
ENST00000413530	ENSG00000259075	17	1	3	23
ENST00000224949	PITRM1	43	1	16	62
ENST00000488417	C1orf94	97	5	43	147
ENST00000184266	NDUFB4	11	0	6	19
ENST00000555028	LIN52	9	0	3	13
ENST00000381075	PFKP	80	14	35	137
ENST00000381070	CWC27	43	8	17	70
ENST00000360742	C8orf41	43	4	21	69
ENST00000334690	C4orf41	70	10	29	113
ENST00000446620	TAS2R39	47	3	19	70
ENST00000334696	ENTPD5	24	4	11	43
ENST00000261667	KPNA3	47	11	11	75
ENST00000389661	ABCA12	49	4	29	85
ENST00000389665	KIAA0226	24	1	14	39
ENST00000519684	HMGB4	35	2	13	50
ENST00000267622	TRIP11	186	33	44	264
ENST00000412250	POM121L4P	15	0	3	18
SU_NEK10	NEK10	140	10	44	205
ENST00000344229	RNF13	23	2	12	39
ENST00000248041	CYP4F11	104	3	66	181
ENST00000334346	MT1B	5	0	0	5
ENST00000334344	ARID2	204	176	64	474
ENST00000403437	MYH8	390	30	157	588
ENST00000416172_v68	RP11-702L15.2	15	6	7	28
ENST00000452853	PFN2	16	1	3	21
ENST00000338446	FAIM	10	1	4	15
ENST00000338448	PALM	33	1	25	60
ENST00000502935	XPNPEP1	40	6	18	69
ENST00000355478	RIC8B	18	0	9	27
ENST00000355476	RBPJ	46	10	15	73
ENST00000219797	MYST1	59	7	14	83
ENST00000355472	GRK6	53	1	26	83
ENST00000448504	ARSG	56	1	24	81
ENST00000228918	LTBR	24	5	17	49
ENST00000228916	SCNN1A	58	10	21	91
ENST00000304921	RPS7	14	0	8	22
ENST00000304920	IL17D	6	0	5	12
ENST00000304926	ZNF434	51	2	10	70
ENST00000510309	ERAP2	20	2	5	27
ENST00000518157	SBSN	31	2	9	43
ENST00000518156	DLX6	12	1	5	19
ENST00000522362	PNMA2	28	8	18	55
